quoted_at,outward_code,representative_postcode,address1,destination_label,requested_vehicle,requested_vehicle_type,service_window,pickup_after,deliver_before,parcel_profile,http_status,quote_status,response_type,price_net,price_gross,vehicle_returned,distance,eta,response_keys,error
2026-05-05T03:54:21+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,pushbike,10,economy-2026-05-05,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,small-500g-no-insurance,200,ok,json,14.39 GBP,17.27 GBP,10,,2026-05-05T12:00:00+01:00,data,
2026-05-05T03:54:21+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,motorcycle,20,economy-2026-05-05,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,small-500g-no-insurance,200,ok,json,15.84 GBP,19.01 GBP,20,,2026-05-05T12:00:00+01:00,data,
2026-05-05T03:54:21+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,pushbike,10,economy-2026-05-05,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,small-500g-no-insurance,200,ok,json,7.12 GBP,8.54 GBP,10,,2026-05-05T12:00:00+01:00,data,
2026-05-05T03:54:21+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,motorcycle,20,economy-2026-05-05,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,small-500g-no-insurance,200,ok,json,7.46 GBP,8.95 GBP,20,,2026-05-05T12:00:00+01:00,data,
