quoted_at,outward_code,representative_postcode,address1,destination_label,service_window,pickup_after,deliver_before,requested_vehicle,requested_vehicle_type,quote_status,http_status,price_net,price_gross,returned_vehicle_type,pickup_eta,delivery_eta,min_realistic_time,error
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:09:28+01:00,37,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:08:34+01:00,33,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:09:28+01:00,37,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:08:34+01:00,33,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:09:28+01:00,37,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,direct_now_asap,,,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T05:47:24+01:00,2026-05-05T05:55:58+01:00,33,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,direct_now_asap,,,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T05:47:25+01:00,2026-05-05T05:56:53+01:00,37,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:17:41+01:00,42,
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.66 GBP,9.19 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:17:21+01:00,45,
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:17:41+01:00,42,
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.66 GBP,9.19 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:17:21+01:00,45,
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:17:41+01:00,42,
