quoted_at,zone_band,outward_code,representative_postcode,address1,destination_label,service_window,pickup_after,deliver_before,requested_vehicle,requested_vehicle_type,quote_status,http_status,price_net,price_gross,returned_vehicle_type,pickup_eta,delivery_eta,min_realistic_time,error
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,three_hour_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:16:39+01:00,41,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,three_hour_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:16:34+01:00,45,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,three_hour_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:16:39+01:00,41,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,three_hour_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:16:34+01:00,45,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,three_hour_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:16:39+01:00,41,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,three_hour_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:16:34+01:00,45,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,two_hour_9_11,2026-05-05T09:00:00+01:00,2026-05-05T11:00:00+01:00,pushbike,10,ok,200,10.19 GBP,12.23 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:16:39+01:00,41,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,two_hour_9_11,2026-05-05T09:00:00+01:00,2026-05-05T11:00:00+01:00,motorcycle,20,ok,200,11.49 GBP,13.79 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:16:34+01:00,45,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,two_hour_12_14,2026-05-05T12:00:00+01:00,2026-05-05T14:00:00+01:00,pushbike,10,ok,200,10.19 GBP,12.23 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:16:39+01:00,41,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,two_hour_12_14,2026-05-05T12:00:00+01:00,2026-05-05T14:00:00+01:00,motorcycle,20,ok,200,11.49 GBP,13.79 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:16:34+01:00,45,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,two_hour_15_17,2026-05-05T15:00:00+01:00,2026-05-05T17:00:00+01:00,pushbike,10,ok,200,10.19 GBP,12.23 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:16:39+01:00,41,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,two_hour_15_17,2026-05-05T15:00:00+01:00,2026-05-05T17:00:00+01:00,motorcycle,20,ok,200,11.49 GBP,13.79 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:16:34+01:00,45,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,one_hour_9_10,2026-05-05T09:00:00+01:00,2026-05-05T10:00:00+01:00,pushbike,10,ok,200,12.97 GBP,15.56 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:16:39+01:00,41,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,one_hour_9_10,2026-05-05T09:00:00+01:00,2026-05-05T10:00:00+01:00,motorcycle,20,ok,200,13.58 GBP,16.30 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:16:34+01:00,45,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,one_hour_12_13,2026-05-05T12:00:00+01:00,2026-05-05T13:00:00+01:00,pushbike,10,ok,200,12.97 GBP,15.56 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:16:39+01:00,41,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,one_hour_12_13,2026-05-05T12:00:00+01:00,2026-05-05T13:00:00+01:00,motorcycle,20,ok,200,13.58 GBP,16.30 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:16:34+01:00,45,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,one_hour_15_16,2026-05-05T15:00:00+01:00,2026-05-05T16:00:00+01:00,pushbike,10,ok,200,12.97 GBP,15.56 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:16:39+01:00,41,
2026-05-05T05:14:47+00:00,zone2,W2,W2 1HQ,Praed Street,Paddington Station,one_hour_15_16,2026-05-05T15:00:00+01:00,2026-05-05T16:00:00+01:00,motorcycle,20,ok,200,13.58 GBP,16.30 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:16:34+01:00,45,
2026-05-05T05:14:47+00:00,zone2,W8,W8 6AG,224-238 Kensington High Street,Design Museum,three_hour_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,9.83 GBP,11.80 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:28:52+01:00,53,
2026-05-05T05:14:47+00:00,zone2,W8,W8 6AG,224-238 Kensington High Street,Design Museum,three_hour_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,11.28 GBP,13.54 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:25:14+01:00,53,
2026-05-05T05:14:47+00:00,zone2,W8,W8 6AG,224-238 Kensington High Street,Design Museum,three_hour_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,9.83 GBP,11.80 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:28:52+01:00,53,
2026-05-05T05:14:47+00:00,zone2,W8,W8 6AG,224-238 Kensington High Street,Design Museum,three_hour_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,11.28 GBP,13.54 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:25:14+01:00,53,
2026-05-05T05:14:47+00:00,zone2,W8,W8 6AG,224-238 Kensington High Street,Design Museum,three_hour_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,9.83 GBP,11.80 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:28:52+01:00,53,
2026-05-05T05:14:47+00:00,zone2,W8,W8 6AG,224-238 Kensington High Street,Design Museum,three_hour_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,11.28 GBP,13.54 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:25:14+01:00,53,
2026-05-05T05:14:47+00:00,zone2,W8,W8 6AG,224-238 Kensington High Street,Design Museum,two_hour_9_11,2026-05-05T09:00:00+01:00,2026-05-05T11:00:00+01:00,pushbike,10,ok,200,15.53 GBP,18.64 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:28:52+01:00,53,
2026-05-05T05:14:47+00:00,zone2,W8,W8 6AG,224-238 Kensington High Street,Design Museum,two_hour_9_11,2026-05-05T09:00:00+01:00,2026-05-05T11:00:00+01:00,motorcycle,20,ok,200,17.75 GBP,21.30 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:25:14+01:00,53,
